Time,FC,PAS,PAM,PAD,temp,SpO2,FR
-1,148,119,84,65,37.3605,98,21
0,162.8,130.9,92.4,65,36.8375,98,23.1
30,166.358,134.16,92.4335,65,36.3144,98,23.0005
60,166.596,130.572,92.847,65,35.7914,98,23.4846
90,166.593,128.022,90.5652,65,35.2684,98,23.2739
120,161.139,131.52,94.6308,65,34.7453,98,22.5806
150,161.95,129.696,93.406,65,34.2223,98,23.6169
180,166.39,133.097,94.4632,65,33.6992,98,23.6551
210,165.748,130.662,92.0832,65,33.1762,98,23.5203
240,161.122,131.988,94.3548,65,32.6531,98,23.0043
270,159.115,127.637,90.1493,65,32.1301,98,23.6266
300,159.385,130.544,91.3512,65,31.607,98,22.7206
330,164.8,131.359,90.1277,65,31.084,98,23.1041
360,180.703,133.397,103.567,65,30.5609,98,23.2923
390,183.107,131.786,100.645,65,30.0379,98,22.5679
420,177.754,128.14,99.2866,65,30.328,98,22.6261
450,175.471,131.431,102.354,65.7719,31.0474,99.1512,23.2992
480,163.132,129.061,89.8993,66.642,31.5931,96.4081,22.9623
510,160.262,128.546,92.5726,65.7193,31.8088,100.942,23.2299
540,165.016,125.15,92.2203,66.0283,32.4139,96.025,22.455
570,156.122,103.701,73.6004,52.7422,31.4671,94.8394,22.0752
600,152.947,110.473,74.5475,53.3987,31.4017,89.0083,21.8982
630,159.24,108.523,76.1039,50.4025,32.8396,84.7005,20.6933
660,154.314,105.478,73.9025,50.0638,32.2274,83.6103,20.7847
690,152.831,102.975,74.5281,51.9157,31.9168,75.7755,20.0644
720,138.719,90.2523,64.1682,49.0065,33.8147,74.3291,19.2657
750,131.641,91.0874,42.6414,44.5714,33.6009,72.1367,19.3781
780,128.119,88.0713,40.0823,43.0689,33.7454,87.6606,18.14
810,125.597,87.4129,39.8957,44.4299,34.189,86.9198,17.99
840,127.231,90.2385,41.563,55.4278,34.323,78.8073,17.4836
870,121.174,87.7961,39.8441,56.4327,35.0992,77.1745,16.8856
900,126.542,116.02,42.3615,56.3862,35.6261,71.8095,16.7282
930,126.503,111.975,42.8927,57.5992,35.4866,68.007,17.7648
960,122.43,112.945,59.2292,55.6958,35.0393,65.9213,17.8641
990,129.182,113.281,78.5382,56.9804,36.153,66.0136,17.113
1020,133.982,109.866,78.1077,57.3016,36.1381,60.9098,17.7661
1050,130.003,110.907,78.5768,56.7219,36.2542,58.8871,17.5609
1080,118.875,93.0117,66.5894,52.3066,36.7878,52.2719,17.3117
1110,130.344,100.609,74.5479,49.3321,36.3924,50.9725,18.9248
1140,132.579,104.207,75.1121,47.4733,36.4517,42.2821,19.4219
1170,131.72,103.034,76.1902,48.3484,36.2688,38.5644,18.7742
1200,132.044,104.16,74.075,48.4521,37.5251,39.0958,19.1573
1230,160.803,123.098,92.1897,49.6254,38.8687,34.9863,23.0768
1260,140.275,113.766,69.2244,48.8373,37.0286,29.9336,22.8795
1290,142.312,113.169,71.6795,48.9431,36.9538,27.5882,23.1782
1320,141.512,111.787,69.2309,49.2569,35.9675,25.2054,23.3387
1350,138.501,111.711,71.2267,46.6918,36.8216,24.9192,23.3523
1380,139.174,112.342,70.4056,46.4685,36.5111,23.5776,23
1410,142.054,114.376,69.0167,48.9702,38.3221,25.1128,22.9205
1440,140.155,111.059,69.0263,48.728,36.8208,25.7122,23.1113
1470,143.443,114.661,70.8226,47.0145,37.7519,28.3327,23.2941
1500,140.327,110.666,71.3551,49.8146,37.1936,25.5366,23.5595
1530,165.649,126.568,90.1205,47.2091,37.3454,26.3647,25.0644
1560,162.426,127.47,88.755,47.8281,38.1241,28.3665,25.23
1590,164.897,126.665,91.3933,49.4828,37.1406,26.8697,25.0403
1620,161.704,125.647,89.8645,47.2776,38.4196,25.2299,24.9372
1650,162.241,129.533,90.3582,47.5891,36.6297,29.2727,25.1723
1680,165.098,126.377,88.2124,47.9943,38.539,25.8886,24.7986
1710,163.11,126.312,88.46,47.8663,36.5684,24.7259,24.5297
1740,166.815,128.343,88.6915,48.7197,36.7225,25.4473,24.9426
1770,162.874,129.843,90.8053,49.2402,38.3748,27.5514,24.9292
1800,168.1,129.009,91.2,49.2698,36.6808,25.602,25.2721
1830,164.165,127.04,88.6819,47.8453,35.7484,27.0197,25.251
1860,167.085,129.032,89.5441,47.2497,36.5141,28.436,24.7617
1890,164.614,128.096,88.0317,47.8134,36.8918,29.1709,24.7598
1920,163.795,129.539,88.0567,49.7488,37.3455,28.8939,24.8045
1950,165.455,125.456,90.5002,48.5825,36.0533,27.1045,24.6562
1980,167.207,130.404,89.2014,49.7281,36.3501,26.0568,24.5113
2010,176.568,134.823,96.349,49.6518,37.381,25.9371,25.1502
2040,172.693,134.722,95.7713,49.8545,36.2113,26.4734,25.0039
2070,173.226,133.255,97.6861,48.0193,35.8365,27.9651,24.9478
2100,173.215,133.049,94.8823,48.7696,35.7698,28.2445,25.5749
2130,176.15,133.387,97.4795,48.3089,37.354,29.0038,25.2269
2160,173.776,133.406,96.2172,49.0501,36.5573,29.2626,25.1183
2190,177.179,136.566,97.5469,49.7109,37.1587,24.9621,25.7337
2220,174.662,133.122,97.1745,48.0741,36.0696,26.0622,25.6533
2250,174.782,138.279,96.3165,48.861,36.9431,25.2776,24.9207
2280,174.352,135.482,97.8521,47.9336,36.4629,28.2897,25.6547
2310,174.37,135.228,97.8871,46.865,37.8217,25.2011,24.9504
2340,177.862,136.823,96.8896,46.8524,38.1782,29.681,25.1803
2370,176.965,135.007,94.9092,48.2713,36.2003,27.6875,25.6722
2400,175.917,134.985,95.9786,48.7224,36.8167,27.4317,25.1791
2430,174.904,134.74,96.5189,46.8208,36.0807,25.7694,25.7488
2460,173.563,137.057,95.0994,46.9268,35.8861,27.1863,25.056
2490,174.996,135.745,97.5617,49.8012,36.4926,29.0759,24.9981
