Time,FC,PAS,PAM,PAD,temp,SpO2,FR
-1,136,175,116,96,37.2723,100,32
0,149.6,192.5,127.6,96,36.7505,100,35.2
30,146.814,195.534,125.689,96,36.2287,100,35.4957
60,152.767,195.029,129.862,96,35.7069,100,35.7652
90,150.702,190.093,129.894,96,35.1851,100,34.8578
120,147.719,192.37,127.697,96,34.6633,100,35.8502
150,148.977,191.712,126.233,96,34.1415,100,34.7744
180,147.86,188.888,124.884,96,33.6197,100,34.9622
210,146.877,191.77,125.231,96,33.0978,100,35.8213
240,151.931,194.504,125.073,96,32.576,100,36.0458
270,153.165,192.173,127.396,96,32.0542,100,35.8737
300,148.577,194.85,126.337,96,31.5324,100,34.8464
330,152.631,192.343,127.107,96,31.0106,100,35.942
360,163.699,188.52,139.333,96,30.4888,100,35.0374
390,163.562,196.23,137.866,96,29.967,100,34.9085
420,148.931,192.869,142.221,96,31.1391,100,34.547
450,151.212,193.577,135.739,95.5461,33.1489,100.358,35.9779
480,150.449,190.938,125.745,96.6109,33.4111,97.8963,35.3799
510,148.405,198.798,129.556,96.9464,35.0371,103.764,35.0261
540,150.315,190.786,128.966,95.589,36.3129,96.5342,35.1787
570,145.584,148.107,103.274,77.7634,36.7477,96.118,34.1346
600,146.073,150.897,100.064,76.351,37.1107,92.107,32.7611
630,144.235,151.65,104.232,77.9939,35.7836,91.181,31.7649
660,138.933,153.275,98.212,77.3399,36.4571,83.3948,30.9193
690,139.769,158.492,99.7229,76.6282,35.9925,81.8065,29.4474
720,196.876,70.7048,98.6775,44.4024,37.614,78.2254,30.4166
750,195.945,71.0028,102.647,45.3461,38.2308,94.3384,28.7513
780,190.369,70.974,101.296,45.9717,38.0752,91.3558,28.2211
810,193.531,72.3394,99.0259,46.815,36.1954,88.3174,27.5643
840,190.86,79.9919,102.311,46.0043,37.3432,82.346,26.5831
870,184.696,69.968,97.4639,44.9378,37.8953,79.4926,25.7955
900,189.775,77.9205,123.043,44.7192,37.548,79.2314,26.5128
930,194.792,71.5056,129.246,44.9893,36.5274,72.4446,26.5189
960,192.934,119.313,126.044,65.6008,37.5326,69.4192,25.516
990,190.863,111.445,131.867,64.7919,38.2961,67.0716,26.3947
1020,193.079,110.505,131.228,65.0509,37.1641,63.3529,26.6303
1050,192.904,109.227,127.914,65.0744,36.9223,62.1048,26.9194
1080,192.207,109.497,129.619,64.1715,36.6841,56.0143,26.0015
1110,188.756,112.924,125.858,66.1348,36.8259,52.5569,25.8585
1140,193.02,108.7,127.241,65.358,36.9048,51.9205,27.0178
1170,188.81,112.716,129.527,65.1217,38.0264,45.9308,26.7505
1200,191.12,114.323,130.868,63.5452,37.3783,43.3904,26.4971
1230,132.402,161.295,131.536,85.0886,37.7073,40.0822,26.8579
1260,125.851,147.602,118.588,70.7993,37.7729,38.9107,26.9308
1290,110.939,138.943,70.9097,70.7257,36.3188,35.7008,26.5708
1320,111.005,133.572,72.0218,71.99,37.5374,76.0716,27.2884
1350,111.964,133.311,72.0274,70.7751,36.7232,76.6218,25.6185
1380,111.651,133.253,71.8151,71.7938,37.2017,78.1653,26.205
1410,112.051,134.827,72.388,69.7717,38.843,77.1131,26.4434
1440,111.285,130.634,73.3401,71.4125,36.8206,77.7912,25.858
1470,112.574,140.311,71.3598,70.445,37.4355,77.2351,26.3557
1500,111.056,131.023,73.8684,71.4105,37.9563,79.718,25.8268
1530,116.855,128.244,103.392,70.9841,38.0831,78.41,25.4432
1560,118.965,125.497,104.574,71.8811,36.9944,81.982,25.5053
1590,119.495,125.759,102.981,70.2326,37.4695,79.584,25.6687
1620,113.389,118.668,96.0304,59.9497,37.2601,80.0583,25.2766
1650,120.06,119.429,100.882,59.3961,38.0919,81.0621,27.8128
1680,118.517,116.471,98.3375,60.718,38.2984,78.6672,27.9338
1710,118.949,117.063,101.11,60.8606,35.7495,80.1752,28.0179
1740,120.864,119.854,101.943,59.2877,37.1061,79.8384,27.6911
1770,143.981,144.665,120.798,61.4645,38.2771,78.7242,34.1225
1800,124.447,123.485,116.225,61.5566,37.7879,79.8371,33.701
1830,126.504,128.651,117.816,61.8217,37.3452,80.8647,34.1376
1860,127.072,125.302,118.605,60.5596,37.0004,81.4171,34.0855
1890,124.537,127.833,116.911,61.635,37.5491,81.2168,34.0635
1920,126.059,127.792,116.887,60.6015,37.0452,81.3952,34.166
1950,126.412,124.522,117.851,61.2318,36.2209,84.8018,33.7081
1980,125.973,124.865,117.491,59.8195,36.5711,87.2026,33.9622
2010,127.482,125.276,116.351,61.2233,38.5812,84.2308,33.8847
2040,126.412,127.493,118.642,61.8623,37.0778,85.9523,33.6923
2070,148.288,144.383,129.607,62.3636,36.6863,83.2451,36.0306
2100,147.701,146.434,127.487,62.3376,37.313,85.1214,36.5796
2130,147.824,147.018,128.588,60.5243,38.1323,86.7353,36.2222
2160,147.99,146.426,127.145,59.3579,37.1858,83.5528,36.5682
2190,146.646,147.826,129.917,61.4157,37.4241,86.1395,36.4528
2220,148.233,147.85,129.166,60.9899,35.8576,84.7556,36.4583
2250,149.205,147.79,126.974,61.2489,38.5229,87.336,36.2673
2280,148.182,143.031,128.395,61.8572,38.2556,85.9575,36.106
2310,148.003,145.348,129.915,61.6852,37.2073,84.8323,36.1223
2340,147.709,142.962,129.494,61.2897,36.0678,84.2861,36.1754
2370,146.419,144.948,130.143,62.1355,37.586,84.1021,36.0577
2400,149.205,146.748,130.156,62.2164,37.0781,83.0065,36.0311
2430,146.367,147.622,129.779,61.0999,36.5658,86.362,36.6582
2460,147.213,145.223,129.159,61.2407,38.2841,86.9709,36.5268
2490,147.476,146.858,129.378,61.9493,36.3836,87.1362,36.4177
2520,148.548,147.072,128.798,59.7908,37.1047,83.7302,36.3423
2550,156.703,150.371,131.021,59.2701,37.3128,82.7946,37.498
2580,156.097,154.378,131.789,59.2965,36.7395,86.7331,37.1551
2610,158.042,153.819,134.564,61.1824,37.842,83.8208,37.289
2640,157.255,155.563,132.75,59.5891,37.3591,85.777,37.08
2670,157.465,155.494,130.808,59.4292,36.4154,86.2606,37.0728
2700,157.412,151.661,130.796,60.6611,37.1312,85.5052,37.2048
2730,156.316,154.961,133.933,59.1399,36.0161,84.2559,37.2113
2760,157.747,156.658,132.018,60.2416,36.1049,84.316,37.3507
2790,157.33,153.972,132.69,60.3967,36.2913,84.4923,37.2495
2820,155.884,154.161,133.572,60.917,36.0552,86.2594,37.5721
2850,157.816,154.949,133.715,60.4176,36.1801,85.5675,37.4159
2880,158.207,157.158,134.093,61.1608,36.9015,82.8314,37.5342
2910,157.178,154.901,130.979,59.5081,37.1102,84.5049,37.162
2940,158.292,152.378,133.341,59.9493,36.2633,82.7018,38.005
2970,158.706,156.204,133.616,61.269,36.8999,83.4833,39.0443
3000,156.619,151.92,132.596,60.0262,36.0545,87.4202,39.743
3030,156.1,152.118,134.599,62.2233,36.2911,82.9866,40.1832
3060,160.556,158.025,135.838,62.2949,36.2611,84.1673,42.2295
3090,160.802,154.063,136.27,60.5737,35.3133,84.1652,43.2852
3120,160.627,158.352,132.916,60.1764,37.0016,83.5614,43.8111
3150,162.041,154.747,134.525,61.1972,36.4242,83.1149,44.2568
3180,162.476,158.428,133.128,60.6424,36.178,82.9799,44.1383
3210,162.946,156.162,135.307,62.142,36.8854,80.2297,44.2506
3240,163.677,156.929,136.507,59.6245,35.4808,77.3012,44.1857
3270,162.005,158.795,134.301,62.1552,35.7576,76.374,44.0342
3300,161.823,158.596,133.505,62.2327,35.9552,73.9452,43.2019
3330,161.323,155.921,135.353,61.5485,34.8982,72.1251,42.5589
3360,162.925,158.308,137.492,60.3552,36.7295,68.4054,41.1219
3390,162.019,159.37,136.838,62.2397,36.1113,63.7137,40.6044
3420,162.276,155.554,134.86,62.0746,36.316,61.0167,39.3898
3450,162.29,157.833,135.953,62.359,36.6602,60.4145,38.7129
3480,160.31,157.245,135.786,60.2828,34.8878,55.2119,37.8823
3510,158.635,158.769,134.397,61.6736,36.0526,52.3087,37.3401
3540,160.416,155.375,136.332,62.2006,36.7232,52.9694,37.3099
3570,159.9,154.784,136.492,60.9931,36.195,50.218,37.37
3600,160.974,154.285,134.319,63.1648,35.3499,46.4355,37.0638
3630,158.318,156.579,134.118,61.8327,36.2469,44.515,37.1693
3660,159.233,154.3,135.422,62.4785,36.2867,42.718,37.0968
3690,158.817,155.387,137.53,63.0013,36.479,41.4187,37.0669
3720,160.079,153.742,135.967,63.0566,36.4599,36.6644,36.9434
3750,159.289,156.583,137.605,60.9833,36.2617,36.7437,37.3655
3780,159.718,155.757,136.986,61.5735,35.9426,32.8654,37.1728
