Time,FC,PAS,PAM,PAD,temp,SpO2,FR
-1,74,145,100,81,37.1269,98,15
0,81.4,159.5,110,81,36.6072,98,16.5
30,80.0509,162.287,108.479,81,36.0874,98,16.1748
60,81.7394,160.947,107.62,81,35.5676,98,16.4485
90,79.9821,160.821,110.887,81,35.0478,98,16.6808
120,81.567,159.964,108.894,81,34.5281,98,16.3864
150,79.9146,157.412,111.514,81,34.0083,98,16.3558
180,80.8962,161.368,108.216,81,33.4885,98,16.9098
210,82.2288,162.896,110.985,81,32.9687,98,16.2761
240,80.2134,157.107,112.163,81,32.449,98,16.139
270,81.762,161.935,110.658,81,31.9292,98,16.1254
300,80.3836,162.545,108.808,81,31.4094,98,16.7878
330,80.7927,159.887,110.462,81,30.8896,98,16.8519
360,89.5734,162.299,122.99,81,30.3699,98,16.8314
390,89.1979,162.126,118.86,81,29.8501,98,16.3902
420,89.0176,157.818,119.249,81,30.2076,98,16.8465
450,87.6566,158.912,122.712,81,30.5651,98,16.892
480,80.1148,161.906,110.136,81,30.9226,100,16.3582
510,81.4328,161.053,111.926,81,31.2801,96.896,15.8053
540,98.986,127.287,82.7152,75.33,31.6376,95.6775,0.0843077
570,101.011,129.071,85.1063,75.33,31.9951,88.4322,0.0955706
600,97.4327,125.298,80.8293,73.5008,32.3526,85.3696,15.2465
630,99.707,128.364,80.1595,76.4312,32.71,84.603,15.1286
660,92.7747,118.35,74.8614,71.4403,33.0675,78.5738,14.9485
690,83.3255,110.668,41.9893,64.4689,33.425,75.2284,14.241
720,83.28,110.708,43.2303,63.1608,33.7825,93.475,14.0538
750,82.1334,106.643,45.1471,64.7832,34.14,89.7204,13.8139
780,83.7752,112.276,44.4292,64.1817,34.4975,84.3282,13.1654
810,79.8446,111.002,44.8974,65.3432,34.855,85.7619,13.0918
840,78.0187,112.185,42.8026,65.4046,35.2125,77.7438,12.9086
870,78.1057,108.932,44.0598,65.4879,35.57,78.7579,12.867
900,78.6074,108.053,42.3246,63.6391,35.9275,75.8288,12.6157
930,82.2965,102.395,63.2319,65.3093,36.285,75.3461,12.4015
960,82.4912,102.001,62.506,62.1699,36.6425,68.288,12.2764
990,84.1923,102.129,62.2816,62.0847,37,65.1172,12.2765
1020,81.1619,94.8135,60.1113,59.1183,37,62.1401,12.572
1050,83.7927,98.994,60.549,54.4189,36.4806,60.4036,13.3293
1080,84.2985,98.2405,61.7432,54.0127,36.8924,55.1958,13.7319
1110,84.6726,96.8955,62.4301,54.943,37.5368,53.8381,13.7903
1140,82.9646,97.3237,62.8914,54.3233,36.9123,48.2023,13.5316
1170,86.3004,95.5652,60.6274,53.6507,37.8273,46.7925,13.9613
1200,84.2273,99.8589,62.6456,55.0752,37.0954,42.7868,14.2153
1230,78.364,87.4436,56.4459,54.8142,37.6151,39.8434,12.3347
1260,77.0347,90.579,57.5969,55.3999,36.7891,38.3745,12.3291
1290,77.8061,90.0484,55.7956,55.5553,37.8363,37.9156,12.2437
1320,78.0318,85.5362,56.8344,52.9282,37.8744,37.9097,12.6656
1350,99.4698,114.26,73.0961,54.6228,36.3737,37.8264,15.9265
