Time,FC,PAS,PAM,PAD,temp,SpO2,FR
-1,109,112,73,59,36.5992,94,24
0,119.9,123.2,80.3,59,36.0868,94,26.4
30,121.134,125.365,81.6442,59,35.5744,94,26.5147
60,121.122,120.421,81.0458,59,35.062,94,26.3261
90,119.741,124.679,81.8581,59,34.5496,94,26.401
120,117.868,125.587,82.2528,59,34.0372,94,26.7287
150,119.746,123.033,79.9743,59,33.5248,94,26.0789
180,117.702,126.235,78.7307,59,33.0124,94,25.9023
210,120.23,125.737,78.9785,59,32.5,94,26.4819
240,121.008,125.339,79.5095,59,31.9876,94,25.9472
270,117.356,123.495,78.4749,59,31.4753,94,25.8526
300,121.765,122.029,80.5296,59,30.9629,94,26.8541
330,119.82,123.351,81.6559,59,30.4505,94,25.803
360,133.182,120.421,90.3068,59,29.9381,94,26.1813
390,131.581,126.117,87.1908,59,29.4257,94,26.4914
420,122.345,123.959,86.9322,59,29.7413,94,26.9962
450,117.12,122.23,89.885,58.8434,29.5233,92.4928,26.4163
480,120.043,124.502,79.1526,57.7255,30.5935,95.7056,27.3363
510,120.755,122.526,78.8758,58.9425,31.3249,98.0103,26.2589
540,118.136,119.781,79.7765,59.0888,31.6165,93.6021,25.1407
570,120.724,98.6062,63.8603,48.2651,31.6676,92.7438,24.7573
600,114.471,98.8711,61.313,47.8383,32.0311,88.1292,24.7183
630,114.832,97.5567,66.5392,47.8912,32.438,85.1097,24.7866
660,113.697,94.5832,61.9541,46.4286,32.6294,86.2209,23.5881
690,112.631,103.906,64.3697,47.2962,33.388,83.146,22.1899
720,111.25,86.6589,60.8896,38.7022,33.1558,77.2511,22.3064
750,95.6697,79.607,35.8286,38.4427,33.111,75.2087,22.2715
780,94.3229,81.8919,36.4243,39.0854,33.5,93.4985,21.103
810,94.0475,80.2818,36.0646,39.9195,34.1416,87.8012,21.5074
840,90.4173,103.596,52.3273,39.6473,34.1916,89.0208,20.7484
870,91.3813,105.62,53.5995,40.0146,33.9713,83.4555,19.7645
900,92.9785,106.064,52.1635,51.6147,35.0447,79.3577,19.9652
930,93.9423,105.877,50.6833,50.7349,35.7086,77.6082,19.6078
960,92.3452,110.889,51.9654,52.4958,35.5781,79.0977,19.9296
990,95.3606,110.799,68.5004,52.58,35.6078,77.4385,19.1379
1020,97.1342,109.225,70.4152,51.106,35.8328,73.1849,19.2399
1050,96.3432,110.415,68.4406,51.8442,37.4637,71.9189,19.0286
1080,93.9249,94.2207,62.9505,42.4441,37.3198,67.6686,19.2632
1110,96.4026,99.4515,67.0141,42.624,36.4408,66.3565,20.638
1140,97.8473,100.909,66.5458,44.1978,36.3985,60.9173,20.6763
1170,97.4889,101.59,67.009,43.606,37.5835,57.7126,20.8712
1200,99.1614,100.38,67.9211,43.1529,38.1145,58.8144,21.5658
1230,119.556,124.471,80.4262,42.5121,36.1586,55.4168,25.5033
1260,104.402,106.99,72.4997,43.0959,37.7709,50.4145,25.9943
1290,104.133,109.983,70.893,44.6611,37.3085,46.7025,25.6675
1320,105.114,105.185,72.533,42.9337,38.3145,46.9069,25.7926
1350,104.448,107.264,72.1326,44.1041,37.3975,49.8458,25.6773
1380,105.323,107.103,72.4931,42.798,37.6797,49.8546,26.1481
1410,106.379,109.702,72.7397,44.2259,37.2883,48.7645,26.2709
1440,106.121,108.253,70.9525,44.6679,36.4057,50.2139,26.1914
1470,105.558,109.157,72.1756,43.7698,36.2195,52.8017,26.2917
1500,105.324,107.329,70.849,42.4168,37.8092,52.6307,25.783
1530,123.979,124.714,81.2516,42.4554,36.2233,53.3402,27.3173
1560,123.899,122.613,81.3093,42.5506,36.9387,53.2007,27.2887
1590,121.315,124.317,83.3683,43.6257,37.7994,50.9877,27.5547
1620,120.365,124.899,82.5288,43.8646,36.65,49.091,27.3395
1650,123.996,122.942,81.8677,42.8758,36.3001,51.3396,27.2101
