Time,FC,PAS,PAM,PAD,temp,SpO2,FR
-1,62,97,71,50,35.7286,100,13
0,68.2,106.7,78.1,50,35.2284,100,14.3
30,69.0794,107.243,76.3702,50,34.7282,100,14.3715
60,69.1703,106.98,76.4737,50,34.228,100,14.4464
90,66.8385,105.828,77.6555,50,33.7278,100,13.9669
120,68.0468,109.251,77.1122,50,33.2276,100,14.0832
150,68.9147,105.266,76.9319,50,32.7274,100,14.039
180,66.9704,106.42,79.0209,50,32.2272,100,14.0489
210,69.2042,107.432,78.8822,50,31.727,100,14.0003
240,68.4822,104.272,77.7739,50,31.2268,100,14.2767
270,66.5054,107.407,77.891,50,30.7266,100,14.3284
300,68.0119,107.429,79.1536,50,30.2264,100,14.2711
330,69.1504,109.249,79.686,50,29.7262,100,14.4851
360,75.6722,109.195,85.6665,50,29.226,100,14.1864
390,74.9261,106.324,85.6197,50,28.7258,100,14.3447
420,67.6151,106.169,76.9132,50,29.1019,100,14.0305
450,66.4728,106.194,79.312,50.0902,29.5108,100.389,14.0323
480,68.2754,108.749,77.2707,50.1362,30.6768,100.03,14.5705
510,67.4616,109.691,78.0841,49.9376,30.1261,98.5393,14.5209
540,70.2385,105.83,78.5933,49.2832,31.2738,99.8267,14.0832
570,67.4839,84.5717,61.7229,39.4963,31.518,96.1482,13.8123
600,64.9223,87.5368,60.7209,39.7757,30.4058,93.3527,13.4648
630,66.2426,84.493,63.5834,40.5684,31.2611,91.6268,12.8943
660,66.5308,89.246,62.2019,39.0479,32.2593,91.7281,12.7942
690,64.6962,87.2447,62.6405,38.9661,33.0661,89.1389,12.255
720,88.4569,42.6932,60.5199,24.1674,33.1563,84.5164,12.0213
750,87.611,40.427,61.6712,24.5517,33.0928,98.7764,12.0441
780,89.686,45.1753,60.4627,23.7004,33.9643,99.4688,11.6484
810,86.2861,42.6124,60.6258,24.3323,33.4462,94.6156,10.9853
840,87.2279,40.1409,60.3439,24.1949,34.9578,95.953,11.0076
870,86.2488,38.7122,60.0059,24.2057,34.3259,90.4464,10.6833
900,85.2235,62.6773,63.1138,33.4208,35.8514,89.3848,10.6278
930,88.7947,63.9476,61.8528,35.3732,35.8907,88.2112,10.2409
960,88.541,62.6381,75.9427,34.1167,35.5429,85.9531,11.0889
990,86.975,58.9142,77.4754,35.2876,37.0675,84.6983,10.6796
