Time,FC,PAS,PAM,PAD,temp,SpO2,FR
-1,125,129,89,68,37.0297,98,19
0,137.5,141.9,97.9,68,36.5113,98,20.9
30,136.633,144.348,97.6134,68,35.9928,98,20.8611
60,137.806,142.39,98.1674,68,35.4744,98,20.4675
90,139.226,143.017,99.212,68,34.956,98,20.5444
120,135.692,139.994,99.938,68,34.4376,98,20.9743
150,137.479,142.267,100.327,68,33.9192,98,21.3284
180,139.255,144.201,99.1532,68,33.4008,98,20.8224
210,138.596,140.256,100.317,68,32.8824,98,20.4371
240,136.126,145.365,98.9446,68,32.3639,98,20.4494
270,135.629,139.275,96.9169,68,31.8455,98,21.0436
300,138.981,139.862,96.3829,68,31.3271,98,21.0468
330,138.347,144.959,97.733,68,30.8087,98,20.5757
360,153.431,143.945,107.462,68,30.2903,98,21.103
390,153.78,140.506,108.572,68,29.7719,98,20.9801
420,152.283,142.599,98.907,68,30.2236,98,20.818
450,151.604,144.322,97.4869,67.7009,31.2133,99.1704,20.9785
480,137.43,146.196,99.0602,68.5124,30.6007,98.6652,21.7607
510,134.53,143.635,98.7944,68.8894,31.9063,99.8161,20.4089
540,132.3,138.003,96.5141,68.8948,31.8432,95.2158,20.6131
570,132.523,113.731,77.7466,55.6177,31.3978,95.0314,19.6988
600,133.843,116.448,79.0692,52.671,32.7603,92.3849,19.3764
630,132.443,118.192,75.6385,55.5912,32.8756,86.0881,18.3596
660,132.751,115.117,77.2355,53.4335,34.1283,85.5586,19.0948
690,129.348,116.814,75.5263,53.0502,34.126,81.8365,17.5261
720,182.759,54.8948,76.9737,32.2963,35.4882,78.7954,17.2867
750,176.287,50.043,80.5436,31.8773,35.1055,91.9565,16.5798
780,178.579,50.882,78.1231,31.1911,34.9944,89.1438,16.2091
810,181.328,58.2683,78.0736,33.9792,36.4815,85.1221,16.3675
840,176.639,56.7809,94.1213,45.089,36.9943,82.2337,15.3301
870,173.026,52.4881,96.5672,45.2093,36.5195,81.2495,15.4992
900,175.006,50.3995,97.9414,45.5258,37.8353,74.7041,15.3162
930,173.772,54.1384,99.3844,47.3865,37.027,70.691,16.5144
960,179.347,80.389,102.421,47.1833,37.4767,70.4789,15.9934
990,181.169,78.1805,94.643,47.9333,37.4143,67.7816,15.9367
1020,173.454,80.5291,98.1257,45.552,36.8287,61.8744,15.5229
1050,176.456,84.686,98.4672,46.8171,37.981,60.4505,16.5756
1080,179.496,79.3675,100.702,47.1071,35.8205,55.0305,15.2667
1110,172.111,83.452,99.5063,48.2131,37.932,54.8634,16.6518
1140,177.914,82.8128,96.3995,45.5442,37.689,49.9863,16.0082
1170,175.324,80.3044,98.6403,47.3539,38.1602,46.6436,15.3305
1200,172.235,81.154,100.819,47.9689,37.0049,44.6945,15.083
1230,120.118,118.7,99.8822,61.8765,37.9375,43.8221,15.2787
1260,115.813,91.3626,81.0425,50.96,37.1765,40.2972,15.7403
1290,103.878,94.7624,56.9354,52.6662,37.5765,37.3119,16.0811
1320,103.872,95.4911,55.5505,53.2201,35.9981,77.3302,15.6504
1350,101.965,96.6502,56.1063,52.3467,38.1126,77.8354,15.4921
1380,106.27,93.4676,55.3193,52.2335,36.6305,78.5367,15.9486
1410,101.715,95.7764,57.338,52.2417,37.3494,80.5456,15.3844
1440,103.008,97.9581,57.9082,53.0788,36.883,79.5462,15.4779
1470,104.967,94.9512,58.4317,51.7269,37.2582,76.7838,15.1714
1500,101.982,96.6758,56.3201,50.4735,36.8656,84.8723,15.8362
1530,108.009,92.1439,78.9384,51.8884,36.5576,84.1946,16.0709
1560,108.594,91.8674,79.7765,52.6035,36.6027,84.2618,16.4071
1590,113.782,95.2002,76.6018,51.1716,37.2668,84.258,15.7419
1620,101.528,80.9434,66.6657,43.1732,37.3246,82.1692,16.1097
1650,111.759,87.9609,73.6151,44.5632,37.9338,82.3462,17.5955
1680,109.073,83.7223,73.8711,44.5636,35.8796,84.1262,17.2936
1710,113.015,86.6752,74.74,44.4739,37.3391,85.4959,17.4321
1740,108.361,84.8553,74.9068,44.6473,38.1892,82.864,17.328
1770,135.483,103.992,92.8136,42.8495,36.7284,84.1575,21.4092
1800,116.845,92.2157,77.9579,44.1241,38.8185,84.579,21.4709
1830,118.48,88.3773,78.098,43.6725,36.6658,84.5907,21.2261
1860,118.366,88.6335,77.3181,43.2012,36.4351,83.3338,21.5411
1890,115.323,89.04,80.2395,44.2457,37.2644,82.0004,21.5658
1920,117.47,89.6934,78.0551,43.4998,36.1236,81.1667,21.6979
1950,116.471,88.9346,78.0385,44.6228,36.4227,85.7045,20.8932
1980,116.731,88.3539,78.0436,43.6436,38.0137,85.8049,21.4847
2010,115.629,92.7189,77.8751,44.4075,37.0661,87.1071,21.6459
2040,120.365,91.0454,77.6167,43.3434,37.0219,86.1431,21.6942
2070,139.187,106.026,92.7899,42.6999,37.5548,85.8844,23.2875
2100,141.581,105.735,90.9728,44.396,36.1453,86.6752,22.8172
2130,137.596,106.403,93.8427,44.8281,37.6395,88.1635,23.3839
2160,141.851,107.746,90.9966,44.6258,37.7381,88.0984,23.0288
2190,140.999,104.362,92.6133,43.5293,38.2141,85.6286,23.3181
2220,136.933,104.456,92.0163,43.5443,37.4126,88.091,23.2171
2250,137.69,105.885,92.1351,43.3169,36.6961,85.7938,23.2059
2280,141.126,104.682,91.8424,45.1382,38.0564,86.7852,22.9228
2310,136.999,108.178,93.1972,42.6449,37.7438,89.2634,23.2149
2340,142.101,104.582,90.5572,43.9771,38.0796,85.9586,22.7334
2370,136.622,106.528,92.17,45.0741,37.3887,87.5904,22.9848
2400,140.956,107.987,91.5725,43.7369,37.7826,88.9265,23.4364
2430,139.025,105.911,94.1978,42.6925,37.1495,88.81,22.8013
2460,136.364,107.525,93.2522,45.5737,37.4709,85.9473,22.9793
2490,138.854,106.566,91.4722,42.7625,36.8106,87.7427,23.4566
2520,139.654,107.77,91.7721,43.7249,36.11,86.6899,23.3993
2550,147.267,111.474,99.768,45.1513,36.5349,85.6437,23.3351
2580,146.508,114.479,96.4226,45.0966,36.8047,86.4685,23.3618
2610,148.683,112.842,96.9372,45.5362,36.9389,89.5819,24.0405
2640,147.022,111.285,97.0214,45.4889,36.7094,89.2167,24.1284
2670,148.626,114.258,98.9881,45.2725,37.4488,89.9139,24.1493
2700,147.637,110.197,99.0024,43.5192,37.3441,87.3505,23.4024
2730,146.732,113.574,96.5093,44.8665,37.4617,88.0494,24.2216
2760,144.843,114.504,99.7679,44.1962,36.9196,87.1558,23.5347
2790,146.452,110.744,96.7164,45.5027,38.6335,88.9636,24.0002
2820,144.235,112.663,100.299,43.7117,36.4872,86.923,24.3145
2850,150.236,112.081,99.5064,44.0639,36.0043,86.4968,23.8768
2880,144.939,110.552,100.642,44.287,37.022,87.8636,23.6266
2910,147.762,113.092,97.2697,44.572,37.4582,85.5284,23.968
2940,147.028,115.418,100.193,45.5879,35.8139,88.6969,23.7391
2970,148.645,112.146,99.5829,45.8757,37.732,86.9056,24.1087
3000,145.554,111.92,97.3978,45.7018,37.2341,85.3606,23.6109
3030,146.552,111.008,99.4575,45.5091,37.8397,86.8067,23.7416
3060,152.101,112.827,100.461,43.1672,36.8971,86.8728,24.4796
3090,149.312,112.205,103.249,45.8376,36.8012,88.031,23.6144
3120,150.981,116.142,103.372,43.6924,36.9514,87.0266,24.1382
3150,148.106,112.579,101.417,43.1095,37.2618,86.7968,23.9978
3180,153.151,114.891,101.828,43.8906,36.6003,86.2279,24.0543
3210,153.005,112.7,101.478,45.7246,36.7911,89.4746,24.2861
3240,151.93,116.628,103.638,43.2199,36.3701,88.2921,24.2212
3270,150.049,112.419,102.663,43.4252,35.8765,87.8915,24.1135
3300,151.836,112.554,103.181,45.4419,36.1632,86.4451,24.2275
3330,150.733,115.964,102.042,44.1493,36.3877,85.6383,23.827
3360,151.056,112.586,101.2,45.6988,36.8918,85.0692,23.7612
3390,155.573,113.539,103.116,45.1336,35.5733,81.0254,23.2671
3420,152.112,112.653,101.667,43.8282,35.8911,81.8144,22.3014
3450,151.588,114.937,101.947,46.007,37.1536,75.6606,21.6924
3480,153.244,115.224,103.304,46.1694,35.9754,75.384,21.568
3510,152.801,115.131,100.198,45.5956,36.5145,71.7875,20.9389
3540,151.12,117.49,101.827,44.3327,36.2685,69.5625,21.5158
3570,154.177,112.768,103.262,45.3405,35.7213,67.8144,20.8435
3600,152.235,115.753,101.013,46.2327,37.9361,63.5695,21.0215
3630,151.405,114.897,101.31,43.9755,37.24,61.5795,20.4645
3660,151.92,117.942,101.629,44.1155,36.9388,57.6732,20.5964
3690,146.629,112.906,103.672,45.3158,35.9408,58.7024,20.9442
3720,148.094,113.797,102.607,43.9274,34.916,55.2466,21.2973
3750,149.428,113.214,103.467,43.8325,36.9699,50.0299,21.7721
3780,148.774,116.217,100.066,45.6042,36.1292,46.3638,22.2022
3810,148.411,117.93,101.622,44.6041,36.4375,44.3725,22.8624
3840,150.247,117.055,100.946,45.7616,36.1946,46.3553,22.7455
3870,147.504,114.451,102.545,43.5924,37.5575,48.6776,22.9345
3900,149.925,117.218,103.822,43.9395,34.7025,49.8056,23.194
3930,146.444,114.638,103.651,45.3004,36.1123,48.8295,23.1915
3960,151.906,117.561,101.214,45.7449,37.6491,47.3149,22.9104
3990,147.213,117.581,101.265,46.0234,36.3113,47.1066,23.1774
4020,146.552,113.052,102.772,43.5828,35.9711,49.9961,22.9031
4050,146.932,116.402,104.649,45.9474,36.6616,49.2655,22.9939
4080,119.716,93.7648,82.1473,44.4723,36.6003,50.8811,22.9942
4110,120.796,95.1489,82.4889,44.6479,35.8402,52.9968,22.5486
4140,121.604,93.6379,81.5425,46.0093,36.7691,51.9577,22.8513
4170,119.847,95.244,81.8168,43.6003,36.6823,58.3698,23.3207
4200,119.467,91.1867,81.9165,45.8847,37.9918,60.1062,22.9741
4230,122.483,90.1577,80.7262,43.2099,35.7808,61.6111,22.8776
4260,121.042,92.5769,81.9993,43.2496,36.0632,66.2753,23.2457
4290,119.632,94.8307,80.5464,46.0546,37.033,71.2083,22.4494
4320,117.132,91.552,83.9538,46.1536,35.7264,72.6487,22.6213
4350,119.684,93.5418,81.3815,43.6131,36.4527,76.143,22.7552
4380,117.014,87.0767,78.0698,44.011,37.1469,76.8519,17.8218
4410,116.354,87.8401,80.1884,44.3665,36.0044,81.2322,17.8414
4440,112.507,88.7345,76.5467,44.4472,36.9193,85.2922,18.0344
4470,112.947,91.7389,78.0659,45.8866,35.1459,86.4092,18.0247
4500,112.396,90.3574,78.5131,45.2696,36.7364,91.7074,18.1455
4530,116.954,90.4369,79.4371,45.9276,35.7633,95.8786,18.4348
4560,115.017,92.0143,76.8658,44.1909,36.7441,97.2475,18.5053
4590,115.465,92.2739,78.9109,46.1485,36.1193,98.43,17.9736
4620,114.776,90.7591,79.844,43.3901,36.2478,99.6398,18.0947
4650,113.113,87.911,77.2969,45.5056,35.4664,99.5337,18.7373
4680,112.219,89.6373,77.7786,45.033,36.5985,99.1661,18.6635
4710,117.105,92.1876,79.8722,46.1487,36.1478,98.169,18.1626
