Time,FC,PAS,PAM,PAD,temp,SpO2,FR
-1,90,203,130,113,36.6118,98,20
0,99,223.3,143,113,36.0992,98,22
30,101.447,223.25,139.666,113,35.5866,98,21.6523
60,96.8611,224.551,141.234,113,35.0741,98,21.746
90,100.518,220.635,143.077,113,34.5615,98,21.4829
120,100.393,222.038,145.541,113,34.0489,98,21.6259
150,99.6996,223.115,143.939,113,33.5364,98,22.2558
180,98.5937,219.664,141.063,113,33.0238,98,21.9628
210,99.6607,218.808,139.992,113,32.5112,98,21.681
240,97.2949,225.569,142.788,113,31.9987,98,22.4463
270,99.9613,222.246,141.525,113,31.4861,98,21.7935
300,100.037,227.52,145.107,113,30.9735,98,22.5199
330,96.898,222.36,140.483,113,30.461,98,21.6454
360,110.02,223.299,155.434,113,29.9484,98,21.638
390,106.501,223.756,159.716,113,29.4358,98,21.9971
420,108.363,227.77,159.922,113,30.3814,98,21.6046
450,105.028,220.72,153.982,114.52,31.4716,97.671,22.7845
480,96.4972,227.454,142.312,111.44,32.4142,98.2641,22.2096
510,98.7005,228.415,147.61,111.729,32.8164,102.107,21.7202
540,94.1774,224.348,146.196,112.787,34.8693,97.0188,21.4793
570,95.387,181.022,114.783,90.2564,34.6532,93.6373,20.7175
600,96.2793,183.359,109.928,92.6127,35.2522,92.0108,20.7306
630,93.9931,177.019,111.032,92.2357,35.8404,90.7402,20.1548
660,95.0203,174.59,113.428,89.9912,37.4037,88.6719,19.3507
690,95.8612,177.47,110.212,88.9184,36.3219,85.1882,19.1458
720,88.3336,163.296,96.6984,76.2498,37.4249,81.6429,18.0499
750,77.905,150.107,62.2044,77.315,37.6554,82.1059,18.7353
780,75.0256,149.542,61.9062,74.5627,38.2673,91.8531,17.3088
810,75.1482,156.301,61.7074,76.6592,37.862,90.3497,17.4584
840,74.7674,141.701,90.9894,100.089,37.1608,88.0303,16.6629
870,73.317,147.86,89.0857,97.7811,38.0525,84.1597,15.925
900,72.9043,145.714,93.7434,96.5632,36.4985,83.0001,16.8886
930,73.2318,148.563,92.9041,98.4812,38.5252,78.1907,17.019
960,73.9327,187.931,94.5689,97.6703,37.6803,82.4566,16.5758
990,80.4452,194.099,119.247,98.4063,37.4107,79.0272,16.2537
1020,80.7068,187.672,118.443,97.6094,37.4724,78.7017,16.3435
1050,77.4122,191.137,120.53,97.0007,37.7032,73.7972,16.3216
1080,76.8835,177.356,103.387,85.1392,36.8007,73.7771,16.3177
1110,79.292,175.159,115.227,86.6782,36.6612,68.2588,18.0123
1140,79.7013,176.933,114.953,82.9531,37.5355,67.7126,18.234
1170,78.8189,174.373,116.058,83.8141,37.639,66.0969,18.3057
1200,81.7041,176.803,113.759,82.9292,37.2853,62.9341,18.4062
1230,97.2489,211.325,141.432,86.0133,36.4846,59.4179,22.4183
1260,84.0063,184.334,111.394,86.5012,37.5228,59.0592,22.308
1290,84.7782,180.735,111.566,84.5726,38.2127,55.3624,22.2419
1320,82.583,183.613,116.246,85.3442,36.3617,56.7684,22.2643
1350,84.4694,181.415,114.037,86.554,38.0507,57.3919,21.9036
1380,84.8644,183.571,111.59,82.4284,37.6076,57.5415,21.8611
1410,83.1459,183.942,115.12,86.3146,38.4762,59.0235,22.3701
1440,85.6153,179.201,114.074,86.6284,36.7981,59.5402,21.9512
1470,85.0543,177.097,112.064,83.5837,38.5701,59.1297,22.1315
1500,85.3525,181.42,114.656,82.731,36.6164,58.084,22.2143
1530,97.866,218.783,138.839,86.1113,38.7884,59.9116,23.8761
1560,97.9757,212.119,140.427,86.142,36.3071,57.2978,24.0183
1590,98.342,213.219,137.703,82.3574,37.0815,59.6608,24.0324
1620,98.3178,212.224,136.722,84.9496,36.9165,57.9605,23.8616
1650,98.0738,216.663,139.635,82.5878,36.8063,61.4471,23.9778
1680,98.158,216.292,140.666,84.3048,38.4769,59.2729,23.519
1710,97.0941,217.217,138.245,82.7541,37.8796,57.9099,23.9534
1740,96.9975,213.479,138.916,84.1389,37.6946,58.2267,24.0348
1770,98.1153,217.713,136.557,86.1228,38.9179,60.9864,23.5475
1800,99.3151,215.365,141.006,84.1011,36.2338,60.9437,23.5971
1830,100.726,212.021,139.424,83.7613,38.3566,58.58,23.3508
1860,100.762,217.161,139.113,84.6366,37.1641,59.964,23.8227
1890,98.7633,216.467,139.318,83.845,36.8551,60.8769,23.484
1920,100.02,215.508,140.201,82.0337,37.2788,59.423,23.8311
1950,98.853,219.275,136.336,84.0561,36.9253,59.8119,23.7699
1980,100.995,219.538,136.945,83.4672,37.6885,62.2866,23.4304
2010,104.379,230.981,148.328,86.195,37.128,57.9288,24.2457
2040,106.261,232.964,148.792,84.1139,35.4987,58.1345,24.2972
2070,107.178,228.276,145.459,84.7744,37.163,58.3856,24.1981
2100,105.501,229.503,150.239,82.9226,36.7643,59.2162,24.0682
2130,104.695,234.151,146.271,82.6028,36.0247,61.0295,24.5116
2160,103.534,229.546,147.364,82.9499,36.8164,61.7026,24.0954
2190,106.199,234.689,151.054,82.9264,36.4383,61.0386,23.9203
2220,105.285,231.449,147.165,84.435,37.2364,61.6768,24.4246
2250,105.778,227.37,151.055,85.6853,37.1732,60.9291,24.2039
2280,103.45,227.509,149.62,83.9596,37.427,61.3874,24.1152
2310,105.626,233.112,148.833,82.5146,37.4869,58.8386,24.1741
2340,107.061,231.983,144.899,83.6092,37.3789,58.3322,23.8356
2370,107.17,227.854,150.014,83.6848,37.6087,61.8193,24.5236
2400,105.791,231.985,147.266,83.1582,35.8823,60.73,24.4801
2430,107.169,229.083,145.027,86.314,36.8217,59.3628,24.2871
2460,107.117,229.93,151.183,83.4219,35.8409,59.18,24.0207
2490,104.513,227.955,149.007,82.6891,37.2923,58.0707,24.0748
2520,105.411,234.161,153.613,84.1013,36.8063,59.1734,24.5886
2550,107.017,233.138,153.49,83.0329,38.0962,61.7188,24.5792
2580,106.199,237.218,149.671,85.0962,35.6965,62.0175,24.3638
2610,106.72,234.894,153.273,82.8067,36.4945,60.1241,24.3462
2640,105.391,231.348,154.949,86.1688,36.114,60.2337,24.1273
2670,106.895,231.377,151.699,83.0447,35.5834,61.9525,24.503
2700,104.876,237.687,151.377,82.3301,35.7261,59.8593,24.6892
2730,107.751,230.449,150.197,86.2989,37.2745,58.794,24.7951
2760,107.781,230.982,155.639,82.7606,36.0751,58.7518,24.7203
2790,107.319,235.184,151.152,85.4782,36.2474,59.0039,24.725
2820,109.033,235.13,156.847,83.0147,36.9141,57.7941,24.4672
2850,107.394,231.439,153.583,83.1469,37.1823,58.6085,24.3909
2880,108.703,231.539,154.744,82.2266,37.1535,62.0631,24.1745
2910,107.453,231.564,156.234,82.9936,35.0435,58.0049,24.1831
2940,108.505,231.939,152.946,84.0319,36.2706,62.1953,24.2137
2970,107.566,234.826,153.201,82.5502,35.8059,60.2502,24.8667
3000,108.378,233.173,151.02,82.7153,36.4009,58.8784,24.5945
3030,105.733,232.936,155.899,82.5055,36.6842,58.5949,24.2352
3060,109.615,236.492,153.999,84.4877,37.1015,60.6005,24.5797
3090,109.177,231.944,154.846,81.8026,35.9762,62.0585,24.4962
3120,107.175,239.941,154.17,84.0937,37.7275,57.5691,24.2814
3150,109.469,238.578,151.889,83.0854,36.5133,58.964,24.8342
3180,109.514,238.5,152.605,86.4999,36.68,59.5212,24.4238
3210,109.435,232.151,152.019,84.8266,35.1488,62.0067,24.7827
3240,106.035,235.468,151.656,82.4519,35.1945,58.1154,24.4605
3270,109.522,234.045,153.99,85.5763,37.1765,59.7352,24.7784
3300,107.154,237.687,154.613,86.6701,35.6234,56.7833,24.2409
